Actual Seniority,Predicted Seniority
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,mid
Senior,mid
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,mid
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Senior,senior
Mid,senior
Mid,senior
Mid,mid
Mid,mid
Mid,mid
Mid,senior
Mid,mid
Mid,senior
Mid,mid
Mid,senior
Junior,mid
Junior,senior
Junior,junior
Junior,junior
Junior,senior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,mid
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,senior
Junior,mid
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,senior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,senior
Junior,mid
Junior,junior
Junior,junior
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,mid
Junior,mid
Junior,junior
Junior,senior
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,mid
Junior,junior
Junior,senior
Junior,senior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,senior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,senior
Junior,junior
Junior,mid
Junior,senior
Junior,junior
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
Junior,mid
Junior,senior
Junior,junior
Junior,mid
Junior,junior
Junior,mid
Junior,senior
Junior,mid
Junior,senior
Junior,junior
Junior,junior
Junior,junior
Junior,junior
